Month,Date,Site_Name,UTM_Source,UTM_Campaign,UTM_Supplier_Id,UTM_Medium,UTM_Ad_Id,UTM_Content,Supplier,Matching_Time,Reg,Distinct_Schools,Accepted,Rejected,Rev,CPA
5,2023-05-27,,,,,,,,Digital Media Solutions,,2973,4,1.0,1.0,19.0,19.0
5,2023-05-27,white_g,,,SUP0109,,374219,,Educationdirectory.org,,1,0,,,0.0,
5,2023-05-28,,,,,,,,Digital Media Solutions,,2907,3,0.0,1.0,0.0,
5,2023-05-28,edp,,,,,,,Educationdirectory.org,,1,3,3.0,0.0,65.0,21.666667
5,2023-05-28,white,,,,,,,Educationdirectory.org,,1,1,1.0,0.0,27.0,27.0
5,2023-05-28,white_g,,,,,,,Educationdirectory.org,,1,4,3.0,0.0,66.0,22.0
5,2023-05-29,,,,,,,,Digital Media Solutions,,4086,2,2.0,1.0,38.0,19.0
5,2023-05-29,edu,,,,,,,Educationdirectory.org,,1,0,,,0.0,
5,2023-05-29,white_g,,,,,,,Educationdirectory.org,,2,3,0.0,0.0,0.0,
5,2023-05-30,,,,,,,,Digital Media Solutions,,4323,3,0.0,0.0,0.0,
5,2023-05-30,edu,,,,,,,Educationdirectory.org,,1,0,,,0.0,
5,2023-05-30,white_g,,,,,,,Educationdirectory.org,,2,2,2.0,2.0,43.0,21.5
5,2023-05-20,white_g,,,,,,,Educationdirectory.org,,1,5,0.0,0.0,0.0,
5,2023-05-20,white_g,,,SUP0101,,650931252223,,Educationdirectory.org,,1,1,,,0.0,
5,2023-05-20,white_g,,,SUP0104,,grant2,,Educationdirectory.org,,1,2,0.0,0.0,0.0,
5,2023-05-21,,,,,,,,Digital Media Solutions,,3200,2,0.0,0.0,0.0,
5,2023-05-21,white_g,,,SUP0101,,620702930077,,Educationdirectory.org,,2,2,2.0,0.0,43.0,21.5
5,2023-05-21,white_g,,,SUP0104,,grant2,,Educationdirectory.org,,3,6,3.0,0.0,72.0,24.0
5,2023-05-22,,,,,,,,Digital Media Solutions,,3663,5,1.0,2.0,19.0,19.0
5,2023-05-22,edp,,,,,,,Educationdirectory.org,,2,6,2.0,0.0,35.0,17.5
5,2023-05-22,edu,,,,,,,Educationdirectory.org,,1,0,,,0.0,
5,2023-05-22,white_g,,,,,,,Educationdirectory.org,,1,1,0.0,0.0,0.0,
5,2023-05-23,,,,,,,,Digital Media Solutions,,3980,4,1.0,0.0,19.0,19.0
5,2023-05-23,edp,,,,,,,Educationdirectory.org,,2,10,0.0,1.0,0.0,
5,2023-05-23,edu,,,,,,,Educationdirectory.org,,3,0,,,0.0,
5,2023-05-23,white_g,,,,,,,Educationdirectory.org,,1,2,0.0,1.0,0.0,
5,2023-05-23,white_g,,,SUP0109,,374219,,Educationdirectory.org,,1,0,,,0.0,
5,2023-05-08,,,,,,,,Digital Media Solutions,,3348,7,4.0,2.0,76.0,19.0
5,2023-05-08,white_g,,,,,,,Educationdirectory.org,,1,2,0.0,0.0,0.0,
5,2023-05-09,,,,,,,,Digital Media Solutions,,3506,6,2.0,3.0,45.0,22.5
5,2023-05-09,edp,,,,,,,Educationdirectory.org,,1,1,1.0,0.0,13.0,13.0
5,2023-05-09,white_g,,,,,,,Educationdirectory.org,,1,3,0.0,0.0,0.0,
5,2023-05-09,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,2,4,0.0,0.0,0.0,
5,2023-05-10,,,,,,,,Digital Media Solutions,,3458,5,0.0,5.0,0.0,
5,2023-05-10,edp,,,SUP0101,,632560918534,,Educationdirectory.org,,1,3,1.0,2.0,30.0,30.0
5,2023-05-10,Purdue Global,,,,,,,Educationdirectory.org,,1,2,2.0,0.0,42.0,21.0
5,2023-05-11,,,,,,,,Digital Media Solutions,,3698,4,3.0,1.0,57.0,19.0
5,2023-05-11,edp,,,,,,,Educationdirectory.org,,1,0,,,0.0,
4,2023-04-16,,,,,,,,Digital Media Solutions,,3148,4,1.0,2.0,19.0,19.0
4,2023-04-17,,,,,,,,Digital Media Solutions,,4358,4,1.0,3.0,19.0,19.0
4,2023-04-17,white_g,,,,,,,Educationdirectory.org,,4,12,1.0,2.0,14.0,14.0
4,2023-04-18,,,,,,,,Digital Media Solutions,,4232,4,2.0,2.0,38.0,19.0
4,2023-04-18,Purdue Global,,,,,,,Educationdirectory.org,,2,1,,,0.0,
4,2023-04-18,white_g,,,,,,,Educationdirectory.org,,2,3,2.0,2.0,46.0,23.0
4,2023-04-18,white_g,,,SUP0104,,,,Educationdirectory.org,,1,0,,,0.0,
4,2023-04-19,,,,,,,,Digital Media Solutions,,4457,3,2.0,2.0,38.0,19.0
4,2023-04-19,edp,,,,,,,Educationdirectory.org,,2,5,0.0,0.0,0.0,
4,2023-04-19,Purdue Global,,,,,,,Educationdirectory.org,,2,3,3.0,0.0,94.0,31.333333
4,2023-04-19,white_g,,,SUP0101,,649118698063,,Educationdirectory.org,,1,0,,,0.0,
4,2023-04-19,white_g,,,SUP0104,,,,Educationdirectory.org,,2,1,,,0.0,
4,2023-04-27,,,,,,,,Digital Media Solutions,,5068,4,1.0,2.0,19.0,19.0
4,2023-04-27,Purdue Global,,,,,,,Educationdirectory.org,,3,3,3.0,0.0,68.0,22.666667
4,2023-04-27,white_g,,,,,,,Educationdirectory.org,,1,4,2.0,0.0,64.0,32.0
4,2023-04-27,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,1,0,,,0.0,
4,2023-04-28,,,,,,,,Digital Media Solutions,,4304,3,0.0,5.0,0.0,
4,2023-04-28,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,3,1,0.0,0.0,0.0,
4,2023-04-29,,,,,,,,Digital Media Solutions,,3683,3,0.0,1.0,0.0,
4,2023-04-29,edp,,,,,,,Educationdirectory.org,,1,1,0.0,0.0,0.0,
4,2023-04-29,white_g,,,,,,,Educationdirectory.org,,2,2,2.0,0.0,31.0,15.5
4,2023-04-29,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,1,1,0.0,0.0,0.0,
4,2023-04-30,,,,,,,,Digital Media Solutions,,3532,3,0.0,2.0,0.0,
4,2023-04-30,edp,,,,,,,Educationdirectory.org,,1,2,2.0,0.0,47.0,23.5
5,2023-05-16,,,,,,,,Digital Media Solutions,,3611,4,1.0,4.0,19.0,19.0
5,2023-05-16,edp,,,,,,,Educationdirectory.org,,2,5,0.0,6.0,0.0,
5,2023-05-16,white_g,,,,,,,Educationdirectory.org,,2,5,4.0,1.0,109.0,27.25
5,2023-05-16,white_g,,,SUP0104,,grant2,,Educationdirectory.org,,1,1,0.0,0.0,0.0,
5,2023-05-17,,,,,,,,Digital Media Solutions,,4239,2,0.0,4.0,0.0,
5,2023-05-17,edp,,,,,,,Educationdirectory.org,,1,1,1.0,0.0,30.0,30.0
5,2023-05-17,white_g,,,,,,,Educationdirectory.org,,1,7,0.0,0.0,0.0,
5,2023-05-18,,,,,,,,Digital Media Solutions,,4080,4,1.0,2.0,19.0,19.0
5,2023-05-18,edp,,,,,,,Educationdirectory.org,,1,2,2.0,1.0,64.0,32.0
5,2023-05-18,white_g,,,,,,,Educationdirectory.org,,2,5,2.0,1.0,66.0,33.0
5,2023-05-19,,,,,,,,Digital Media Solutions,,3308,3,1.0,4.0,19.0,19.0
5,2023-05-19,edp,,,,,,,Educationdirectory.org,,1,7,3.0,0.0,51.0,17.0
5,2023-05-19,white_g,,,SUP0104,,grant2,,Educationdirectory.org,,2,1,1.0,0.0,19.0,19.0
5,2023-05-20,,,,,,,,Digital Media Solutions,,3141,4,0.0,1.0,0.0,
4,2023-04-24,,,,,,,,Digital Media Solutions,,4563,4,2.0,2.0,52.0,26.0
4,2023-04-24,edp,,,,,,,Educationdirectory.org,,6,6,2.0,0.0,43.0,21.5
