date,revenue,campaign,source,click_count
2023-03-31 00:00:00,20.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 00:00:00,20.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 00:00:00,330.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 00:00:00,2.0,17636347892.0,My Ad Optimizer,1.0
2023-03-31 01:00:00,34.0,Unknown,Education Dynamics,0.0
2023-03-31 01:00:00,40.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 01:00:00,60.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 01:00:00,180.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 02:00:00,20.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 02:00:00,60.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 02:00:00,150.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 02:00:00,4.0,Unknown,Clicks.net,2.0
2023-03-31 02:00:00,2.0,Unknown,My Ad Optimizer,1.0
2023-03-31 03:00:00,26.0,Unknown,Education Dynamics,0.0
2023-03-31 03:00:00,40.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 03:00:00,40.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 03:00:00,120.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 03:00:00,4.0,Unknown,My Ad Optimizer,2.0
2023-03-31 04:00:00,20.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 04:00:00,40.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 04:00:00,180.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 04:00:00,6.0,17636347892,Clicks.net,3.0
2023-03-31 04:00:00,6.0,17636347892.0,My Ad Optimizer,3.0
2023-03-31 05:00:00,20.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 05:00:00,20.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 05:00:00,60.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 06:00:00,40.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 06:00:00,90.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 07:00:00,0.0,Unknown,Education Dynamics,0.0
2023-03-31 07:00:00,20.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 07:00:00,90.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 07:00:00,10.0,Unknown,My Ad Optimizer,5.0
2023-03-31 08:00:00,19.0,Unknown,Education Dynamics,0.0
2023-03-31 08:00:00,20.0,Candid Maven (Paid Media) Tier 2 Associates,Kaplan,0.0
2023-03-31 08:00:00,20.0,Candid Maven (Paid Media) Tier 2 Bachelors,Kaplan,0.0
2023-03-31 08:00:00,180.0,Unknown,Southern New Hampshire University,0.0
2023-03-31 08:00:00,4.0,Unknown,Clicks.net,2.0
2023-03-31 08:00:00,2.0,Unknown,My Ad Optimizer,1.0
