Supplier,List ID,Count,Date
Lido Labs,14504,27,2023-04-28
Lido Labs,14504,52,2023-05-01
Lido Labs,14504,12,2023-05-02
Lido Labs,14504,12,2023-05-03
Lido Labs,14504,28,2023-05-04
Lido Labs,14504,6,2023-05-05
Lido Labs,14504,46,2023-05-08
Lido Labs,14504,11,2023-05-09
Lido Labs,14504,45,2023-05-10
Lido Labs,14504,100,2023-05-11
Colossus Media,21753,1000,2023-04-28
Colossus Media,21753,1000,2023-05-01
Colossus Media,21753,1000,2023-05-02
Colossus Media,21753,1000,2023-05-03
Colossus Media,21753,1000,2023-05-04
Colossus Media,21753,1000,2023-05-05
Colossus Media,21753,1000,2023-05-08
Colossus Media,21753,1000,2023-05-09
Colossus Media,21753,1000,2023-05-10
Colossus Media,21753,1000,2023-05-11
Digital Media Solutions,24179,25,2023-04-28
Digital Media Solutions,24180,282,2023-04-28
Digital Media Solutions,24182,9,2023-04-28
Digital Media Solutions,24180,96,2023-04-29
Digital Media Solutions,24182,10,2023-04-29
Digital Media Solutions,24182,13,2023-04-30
Digital Media Solutions,24179,25,2023-05-01
Digital Media Solutions,24180,269,2023-05-01
Digital Media Solutions,24182,26,2023-05-01
Digital Media Solutions,24179,35,2023-05-02
Digital Media Solutions,24180,120,2023-05-02
Digital Media Solutions,24182,4,2023-05-02
Digital Media Solutions,24179,32,2023-05-03
Digital Media Solutions,24180,34,2023-05-03
Digital Media Solutions,24182,26,2023-05-03
Digital Media Solutions,24179,11,2023-05-04
Digital Media Solutions,24180,23,2023-05-04
Digital Media Solutions,24182,17,2023-05-04
Digital Media Solutions,24179,8,2023-05-05
Digital Media Solutions,24180,213,2023-05-05
Digital Media Solutions,24182,11,2023-05-05
Digital Media Solutions,24180,145,2023-05-06
Digital Media Solutions,24182,28,2023-05-06
Digital Media Solutions,24180,236,2023-05-07
Digital Media Solutions,24182,51,2023-05-07
Digital Media Solutions,24179,21,2023-05-08
Digital Media Solutions,24180,119,2023-05-08
Digital Media Solutions,24182,35,2023-05-08
Digital Media Solutions,24179,35,2023-05-09
Digital Media Solutions,24180,105,2023-05-09
Digital Media Solutions,24182,38,2023-05-09
Digital Media Solutions,24179,41,2023-05-10
Digital Media Solutions,24180,107,2023-05-10
Digital Media Solutions,24182,26,2023-05-10
Digital Media Solutions,24179,26,2023-05-11
Digital Media Solutions,24180,145,2023-05-11
Digital Media Solutions,24182,38,2023-05-11
Shift 44,83531,600,2023-05-01
Shift 44,83532,200,2023-05-01
Shift 44,83531,600,2023-05-02
Shift 44,83531,600,2023-05-03
Shift 44,83531,599,2023-05-04
Shift 44,83531,600,2023-05-05
Shift 44,83531,600,2023-05-08
Shift 44,83532,200,2023-05-08
Shift 44,83531,600,2023-05-09
Shift 44,83531,600,2023-05-10
Shift 44,83531,600,2023-05-11
SilverTAP,54001,1366,2023-04-28
SilverTAP,54006,3656,2023-04-28
SilverTAP,54001,1387,2023-04-29
SilverTAP,54006,1721,2023-04-29
SilverTAP,54001,1669,2023-04-30
SilverTAP,54006,1902,2023-04-30
SilverTAP,54001,1896,2023-05-01
SilverTAP,54006,3522,2023-05-01
SilverTAP,54001,2000,2023-05-02
SilverTAP,54006,3854,2023-05-02
SilverTAP,54001,2000,2023-05-03
SilverTAP,54006,3982,2023-05-03
SilverTAP,54001,1823,2023-05-04
SilverTAP,54006,3752,2023-05-04
SilverTAP,54001,985,2023-05-05
SilverTAP,54006,2639,2023-05-05
SilverTAP,54001,1211,2023-05-06
SilverTAP,54006,1683,2023-05-06
SilverTAP,54001,1464,2023-05-07
SilverTAP,54006,2063,2023-05-07
SilverTAP,54001,1622,2023-05-08
SilverTAP,54006,3639,2023-05-08
SilverTAP,54001,1478,2023-05-09
SilverTAP,54006,3433,2023-05-09
SilverTAP,54001,1328,2023-05-10
SilverTAP,54006,3326,2023-05-10
SilverTAP,54001,1091,2023-05-11
SilverTAP,54006,2880,2023-05-11
Apptness,54101,3309,2023-04-28
Apptness,54102,2881,2023-04-28
Apptness,54103,4565,2023-04-29
Apptness,54103,5000,2023-04-30
Apptness,54101,3500,2023-05-01
Apptness,54102,3500,2023-05-01
Apptness,54101,3500,2023-05-02
Apptness,54102,3500,2023-05-02
Apptness,54101,3500,2023-05-03
Apptness,54102,3500,2023-05-03
Apptness,54101,3500,2023-05-04
Apptness,54102,3500,2023-05-04
Apptness,54101,3439,2023-05-05
Apptness,54102,3126,2023-05-05
Apptness,54103,4722,2023-05-06
Apptness,54103,5000,2023-05-07
Apptness,54101,3501,2023-05-08
Apptness,54102,3500,2023-05-08
Apptness,54101,3500,2023-05-09
Apptness,54102,3500,2023-05-09
Apptness,54101,3500,2023-05-10
Apptness,54102,3500,2023-05-10
Apptness,54101,3500,2023-05-11
Apptness,54102,3500,2023-05-11
Voltron Interactive,54401,214,2023-04-28
Voltron Interactive,54402,2,2023-04-28
Voltron Interactive,54403,134,2023-04-28
Voltron Interactive,54402,1,2023-04-29
Voltron Interactive,54403,366,2023-04-29
Voltron Interactive,54402,3,2023-04-30
Voltron Interactive,54403,423,2023-04-30
Voltron Interactive,54401,229,2023-05-01
Voltron Interactive,54403,171,2023-05-01
Voltron Interactive,54401,201,2023-05-02
Voltron Interactive,54402,1,2023-05-02
Voltron Interactive,54403,111,2023-05-02
Voltron Interactive,54401,96,2023-05-03
Voltron Interactive,54402,1,2023-05-03
Voltron Interactive,54403,106,2023-05-03
Voltron Interactive,54401,134,2023-05-04
