Supplier,List ID,Count,Year-Week
Lido Labs,14504,450,2023-01
Lido Labs,14504,424,2023-02
Lido Labs,14504,239,2023-03
Lido Labs,14504,194,2023-04
Lido Labs,14504,118,2023-05
Lido Labs,14504,242,2023-06
Lido Labs,14504,95,2023-07
Lido Labs,14504,64,2023-08
Lido Labs,14504,53,2023-09
Lido Labs,14504,88,2023-10
Lido Labs,14504,139,2023-11
Lido Labs,14504,74,2023-12
Lido Labs,14504,50,2023-13
Lido Labs,14504,129,2023-14
Lido Labs,14504,273,2023-15
Lido Labs,14504,94,2023-16
Lido Labs,14504,117,2023-17
Lido Labs,14504,110,2023-18
Lido Labs,14504,209,2023-19
Lido Labs,14504,88,2023-20
Lido Labs,14504,325,2023-21
Lido Labs,14504,195,2023-22
Colossus Media,21753,3120,2023-01
Colossus Media,21754,1130,2023-01
Colossus Media,21753,5170,2023-02
Colossus Media,21754,1442,2023-02
Colossus Media,21753,6553,2023-03
Colossus Media,21754,1351,2023-03
Colossus Media,21753,6768,2023-04
Colossus Media,21754,1254,2023-04
Colossus Media,21753,6414,2023-05
Colossus Media,21754,1277,2023-05
Colossus Media,21753,6816,2023-06
Colossus Media,21754,1054,2023-06
Colossus Media,21753,5425,2023-07
Colossus Media,21754,1259,2023-07
Colossus Media,21753,5465,2023-08
Colossus Media,21754,1248,2023-08
Colossus Media,21753,3337,2023-09
Colossus Media,21754,1075,2023-09
Colossus Media,21753,4839,2023-10
Colossus Media,21754,1095,2023-10
Colossus Media,21753,4972,2023-11
Colossus Media,21754,930,2023-11
Colossus Media,21753,4714,2023-12
Colossus Media,21754,690,2023-12
Colossus Media,21753,4534,2023-13
Colossus Media,21754,552,2023-13
Colossus Media,21753,5000,2023-14
Colossus Media,21753,5000,2023-15
Colossus Media,21753,5000,2023-16
Colossus Media,21753,5000,2023-17
Colossus Media,21753,5000,2023-18
Colossus Media,21753,5000,2023-19
Colossus Media,21753,5000,2023-20
Colossus Media,21753,4512,2023-21
Colossus Media,21753,1488,2023-22
Digital Media Solutions,24180,202,2022-52
Digital Media Solutions,24181,61,2022-52
Digital Media Solutions,24179,140,2023-01
Digital Media Solutions,24180,796,2023-01
Digital Media Solutions,24181,476,2023-01
Digital Media Solutions,24179,280,2023-02
Digital Media Solutions,24180,1269,2023-02
Digital Media Solutions,24181,1095,2023-02
