Year-Week,Site_Name,UTM_Source,UTM_Campaign,UTM_Supplier_Id,UTM_Medium,UTM_Ad_Id,UTM_Content,Supplier,Matching_Time,Reg,Distinct_Schools,Accepted,Rejected,Rev,CPA
202322,edu,,,,,,,Educationdirectory.org,,2,0,,,0.0,
202322,white,,,,,,,Educationdirectory.org,,1,1,1.0,0.0,27.0,27.0
202321,white_g,,,SUP0109,,374219,,Educationdirectory.org,,3,1,0.0,0.0,0.0,
202322,edp,,,,,,,Educationdirectory.org,,1,3,3.0,0.0,65.0,21.666667
202322,,,,,,,,Digital Media Solutions,,11316,4,2.0,2.0,38.0,19.0
202322,white_g,,,,,,,Educationdirectory.org,,5,6,5.0,2.0,109.0,21.8
202321,edu,,,,,,,Educationdirectory.org,,39,1,0.0,0.0,0.0,
202321,white_g,,,SUP0104,,grant2,,Educationdirectory.org,,5,6,3.0,0.0,72.0,24.0
202321,white_g,,,SUP0101,,620702930077,,Educationdirectory.org,,2,2,2.0,0.0,43.0,21.5
202321,white_g,,,,,,,Educationdirectory.org,,7,6,5.0,1.0,117.0,23.4
202317,white_g,,,,,,,Educationdirectory.org,,7,6,7.0,2.0,168.0,24.0
202317,white_g,,,SUP0101,,651015491880,,Educationdirectory.org,,1,1,,,0.0,
202317,white_g,,,SUP0104,,,,Educationdirectory.org,,3,1,1.0,0.0,12.0,12.0
202317,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,5,2,0.0,0.0,0.0,
202318,,,,,,,,Digital Media Solutions,,27697,8,17.0,37.0,338.0,19.882353
202318,edp,,,,,,,Educationdirectory.org,,2,4,3.0,0.0,60.0,20.0
202318,edp,,,SUP0101,,624999155494,,Educationdirectory.org,,1,5,0.0,0.0,0.0,
202318,edp,,,SUP0111,,creative1e,,Educationdirectory.org,,1,5,3.0,0.0,76.0,25.333333
202318,edp,,,SUP0111,education,creative1e,,Educationdirectory.org,,6,4,4.0,4.0,112.0,28.0
202318,Purdue Global,,,SUP0111,edu_grant,creative1g,,Educationdirectory.org,,2,3,0.0,0.0,0.0,
202318,Purdue Global,,,SUP0111,education,creative1e,,Educationdirectory.org,,4,4,1.0,0.0,40.0,40.0
202318,white_g,,,,,,,Educationdirectory.org,,7,12,3.0,0.0,82.0,27.333333
202318,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,4,2,0.0,2.0,0.0,
202318,white_g,,,SUP0111,,creative1g,,Educationdirectory.org,,1,5,0.0,0.0,0.0,
202318,white_g,,,SUP0111,edu_grant,creative1g,,Educationdirectory.org,,38,20,27.0,5.0,614.0,22.740741
202319,,,,,,,,Digital Media Solutions,,23811,7,12.0,17.0,242.0,20.166667
202319,edp,,,,,,,Educationdirectory.org,,3,6,4.0,0.0,105.0,26.25
202319,edp,,,SUP0101,,632560918534,,Educationdirectory.org,,1,3,1.0,2.0,30.0,30.0
202312,,,,,,,,Digital Media Solutions,,11371,4,4.0,13.0,76.0,19.0
202312,blue_g,,,,,,,Educationdirectory.org,,3,2,,,0.0,
202312,edp,,,,,,,Educationdirectory.org,,8,13,10.0,2.0,221.0,22.1
202312,portal,,,,,,,Degree Transfers,2145749.0,2,8,5.0,2.0,145.0,29.0
202312,Purdue Global,,,,,,,Educationdirectory.org,,4,2,0.0,4.0,0.0,
202312,white_g,,,,,,,Educationdirectory.org,,16,13,6.0,2.0,136.0,22.666667
202312,white_g,,,SUP0101,,624999155494,,Educationdirectory.org,,1,7,0.0,0.0,0.0,
202312,white_g,,,SUP0104,,,,Educationdirectory.org,,6,12,3.0,0.0,41.0,13.666667
202313,,,,,,,,Digital Media Solutions,,14372,10,16.0,4.0,308.0,19.25
202313,blue_g,,,,,,,Educationdirectory.org,,1,2,,,0.0,
202313,edp,,,,,,,Educationdirectory.org,,5,9,5.0,1.0,135.0,27.0
202313,Purdue Global,,,,,,,Educationdirectory.org,,3,1,1.0,0.0,7.0,7.0
202252,,,,,,,,Digital Media Solutions,,2803,1,1.0,0.0,19.0,19.0
202252,edp,,,,,,,Educationdirectory.org,,1,0,,,0.0,
202252,Purdue Global,,,,,,,Educationdirectory.org,,3,1,,,0.0,
202301,,,,,,,,Digital Media Solutions,,24278,7,45.0,7.0,855.0,19.0
202301,edp,,,,,,,Educationdirectory.org,,8,10,12.0,1.0,270.0,22.5
202301,portal,,,,,,,Degree Transfers,5688316.0,7,8,1.0,2.0,15.0,15.0
202301,Purdue Global,,,,,,,Educationdirectory.org,,7,6,4.0,8.0,100.0,25.0
202301,white_g,,,,,,,Educationdirectory.org,,9,8,6.0,0.0,116.0,19.333333
202301,white_g,,,SUP0101,,585909895103,,Educationdirectory.org,,6,4,7.0,1.0,150.0,21.428571
202301,white_g,,,SUP0104,,,,Educationdirectory.org,,4,5,4.0,5.0,54.0,13.5
202302,,,,,,,,Digital Media Solutions,,23034,5,10.0,6.0,197.0,19.7
202302,edp,,,,,,,Educationdirectory.org,,8,16,8.0,2.0,162.0,20.25
202302,portal,,,,,,,Degree Transfers,3618337.0,5,7,0.0,2.0,0.0,
202302,Purdue Global,,,SUP0104,,,,Educationdirectory.org,,1,0,,,0.0,
202306,portal,,,,,,,Degree Transfers,54003.0,3,0,,,0.0,
202306,Purdue Global,,,,,,,Educationdirectory.org,,4,8,6.0,1.0,112.0,18.666667
202306,white,,,,,,,Educationdirectory.org,,4,7,1.0,0.0,30.0,30.0
202306,white_g,,,,,,,Educationdirectory.org,,4,9,6.0,0.0,158.0,26.333333
202306,white_g,,,SUP0101,,585909895103,,Educationdirectory.org,,2,8,4.0,0.0,106.0,26.5
202306,white_g,,,SUP0104,,,,Educationdirectory.org,,4,7,6.0,0.0,114.0,19.0
202307,,,,,,,,Digital Media Solutions,,21349,5,6.0,3.0,114.0,19.0
202307,edp,,,,,,,Educationdirectory.org,,7,8,1.0,0.0,20.0,20.0
202307,portal,,,,,,,Degree Transfers,4392244.0,4,6,5.0,5.0,144.0,28.8
202307,Purdue Global,,,,,,,Educationdirectory.org,,7,12,2.0,3.0,44.0,22.0
202307,Purdue Global,,,SUP0104,,,,Educationdirectory.org,,1,1,0.0,0.0,0.0,
202307,white,,,,,,,Educationdirectory.org,,1,0,,,0.0,
202307,white_g,,,,,,,Educationdirectory.org,,6,10,7.0,3.0,181.0,25.857143
202307,white_g,,,SUP0101,,585909895103,,Educationdirectory.org,,4,13,3.0,0.0,98.0,32.666667
202307,white_g,,,SUP0104,,,,Educationdirectory.org,,9,9,5.0,1.0,140.0,28.0
202308,,,,,,,,Digital Media Solutions,,27776,4,9.0,4.0,171.0,19.0
202308,edp,,,,,,,Educationdirectory.org,,19,17,9.0,1.0,226.0,25.111111
202315,white_g,,,,,,,Educationdirectory.org,,15,12,11.0,11.0,318.0,28.909091
202315,white_g,,,SUP0101,,607713435568,,Educationdirectory.org,,2,2,2.0,0.0,43.0,21.5
202315,white_g,,,SUP0101,,651015491880,,Educationdirectory.org,,1,4,0.0,0.0,0.0,
202315,white_g,,,SUP0104,,,,Educationdirectory.org,,7,11,1.0,0.0,17.0,17.0
202315,white_g,,,SUP0109,,374219,,Educationdirectory.org,,5,7,3.0,1.0,88.0,29.333333
202316,,,,,,,,Digital Media Solutions,,28219,4,8.0,11.0,152.0,19.0
202316,edp,,,,,,,Educationdirectory.org,,2,5,0.0,0.0,0.0,
202316,Purdue Global,,,,,,,Educationdirectory.org,,7,4,3.0,0.0,94.0,31.333333
202316,white_g,,,,,,,Educationdirectory.org,,13,14,5.0,5.0,96.0,19.2
202316,white_g,,,SUP0101,,624999155488,,Educationdirectory.org,,1,0,,,0.0,
202316,white_g,,,SUP0101,,649118698063,,Educationdirectory.org,,1,0,,,0.0,
202316,white_g,,,SUP0101,,650931252223,,Educationdirectory.org,,1,2,2.0,0.0,43.0,21.5
202316,white_g,,,SUP0104,,,,Educationdirectory.org,,6,2,3.0,0.0,84.0,28.0
202317,,,,,,,,Digital Media Solutions,,29719,4,5.0,13.0,109.0,21.8
202317,edp,,,,,,,Educationdirectory.org,,9,8,2.0,0.0,43.0,21.5
202317,Purdue Global,,,,,,,Educationdirectory.org,,7,7,6.0,1.0,162.0,27.0
202304,Purdue Global,,,SUP0104,,,,Educationdirectory.org,,1,3,0.0,0.0,0.0,
202304,white,,,,,,,Educationdirectory.org,,1,1,1.0,0.0,30.0,30.0
202304,white_g,,,,,,,Educationdirectory.org,,5,5,1.0,2.0,20.0,20.0
202304,white_g,,,SUP0101,,585909895103,,Educationdirectory.org,,2,4,2.0,0.0,48.0,24.0
202304,white_g,,,SUP0104,,,,Educationdirectory.org,,12,14,9.0,0.0,185.0,20.555556
202305,,,,,,,,Digital Media Solutions,,21462,9,20.0,9.0,396.0,19.8
202305,edp,,,,,,,Educationdirectory.org,,8,15,4.0,2.0,109.0,27.25
202305,Purdue Global,,,,,,,Educationdirectory.org,,11,8,3.0,2.0,69.0,23.0
202305,white_g,,,,,,,Educationdirectory.org,,8,11,2.0,0.0,46.0,23.0
202305,white_g,,,SUP0101,,585909895103,,Educationdirectory.org,,2,3,1.0,1.0,30.0,30.0
202305,white_g,,,SUP0104,,,,Educationdirectory.org,,8,4,3.0,0.0,62.0,20.666667
202306,,,,,,,,Digital Media Solutions,,20432,8,22.0,5.0,422.0,19.181818
202306,edp,,,,,,,Educationdirectory.org,,5,11,3.0,2.0,78.0,26.0
202313,white_g,,,,,,,Educationdirectory.org,,16,10,6.0,5.0,124.0,20.666667
202313,white_g,,,SUP0101,,607713435568,,Educationdirectory.org,,1,6,0.0,0.0,0.0,
202313,white_g,,,SUP0104,,,,Educationdirectory.org,,6,8,1.0,1.0,9.0,9.0
202314,,,,,,,,Digital Media Solutions,,24665,9,29.0,35.0,569.0,19.62069
202314,edp,,,,,,,Educationdirectory.org,,7,9,0.0,0.0,0.0,
202314,Purdue Global,,,,,,,Educationdirectory.org,,6,4,3.0,3.0,76.0,25.333333
202314,Purdue Global,,,SUP0104,,,,Educationdirectory.org,,2,3,1.0,1.0,30.0,30.0
202314,white_g,,,,,,,Educationdirectory.org,,8,9,4.0,4.0,103.0,25.75
202314,white_g,,,SUP0101,,649118698063,,Educationdirectory.org,,1,5,0.0,0.0,0.0,
202314,white_g,,,SUP0101,,651015491880,,Educationdirectory.org,,1,1,0.0,0.0,0.0,
202314,white_g,,,SUP0101,,652872442234,,Educationdirectory.org,,1,3,2.0,0.0,46.0,23.0
202314,white_g,,,SUP0104,,,,Educationdirectory.org,,5,13,1.0,1.0,30.0,30.0
202315,,,,,,,,Digital Media Solutions,,26689,6,13.0,19.0,254.0,19.538462
202315,edp,,,,,,,Educationdirectory.org,,9,10,6.0,2.0,149.0,24.833333
