date,click_count,revenue,campaign
2023-05-31 03:00:00,1,2,20187299899
2023-05-31 02:00:00,1,2,20187299899
2023-05-31 01:00:00,1,2,20187299899
2023-05-30 16:00:00,1,2,20187299899
2023-05-30 09:00:00,1,2,20187299899
2023-05-30 06:00:00,1,2,20187299899
2023-05-30 05:00:00,2,4,17636347892
2023-05-30 04:00:00,1,2,
2023-05-30 02:00:00,1,2,20187299899
2023-05-30 01:00:00,3,6,17636347892
2023-05-30 00:00:00,3,6,20187299899
2023-05-29 21:00:00,1,2,17636347892
2023-05-29 16:00:00,1,2,17636347892
2023-05-29 15:00:00,1,2,17636347892
2023-05-29 10:00:00,1,2,
2023-05-29 05:00:00,1,2,17636347892
2023-05-28 21:00:00,1,2,18463616520
2023-05-28 17:00:00,1,2,18463616520
2023-05-28 14:00:00,2,4,20187299899
2023-05-28 12:00:00,1,2,
2023-05-28 09:00:00,1,2,17636347892
2023-05-28 06:00:00,3,6,17636347892
2023-05-28 05:00:00,1,2,17636347892
2023-05-27 20:00:00,1,2,18463616520
2023-05-27 16:00:00,2,4,20187299899
2023-05-27 15:00:00,1,2,20187299899
2023-05-27 08:00:00,1,2,20187299899
2023-05-27 07:00:00,1,2,17636347892
2023-05-27 05:00:00,3,6,
2023-05-27 04:00:00,1,2,17636347892
2023-05-26 21:00:00,1,2,18463616520
2023-05-26 20:00:00,1,2,20187299899
2023-05-26 17:00:00,1,2,20187299899
2023-05-26 15:00:00,1,2,18463616520
2023-05-26 11:00:00,3,6,17636347892
2023-05-26 09:00:00,3,6,
2023-05-26 08:00:00,1,2,17636347892
2023-05-26 04:00:00,3,6,20187299899
2023-05-25 23:00:00,3,6,18463616520
2023-05-25 22:00:00,2,4,17636347892
2023-05-25 15:00:00,1,2,35
2023-05-25 14:00:00,1,2,18463616520
2023-05-25 12:00:00,1,2,17636347892
2023-05-25 11:00:00,1,2,17636347892
2023-05-25 09:00:00,3,6,
2023-05-25 07:00:00,1,2,20187299899
2023-05-25 01:00:00,1,2,
2023-05-24 16:00:00,2,4,20187299899
2023-05-24 15:00:00,1,2,20187299899
2023-05-24 14:00:00,1,2,17636347892
2023-05-24 11:00:00,1,2,
2023-05-24 07:00:00,1,2,
2023-05-24 03:00:00,2,4,17636347892
2023-05-23 23:00:00,1,2,20187299899
2023-05-23 16:00:00,1,2,
2023-05-23 13:00:00,2,4,
2023-05-23 12:00:00,3,6,
2023-05-23 08:00:00,1,2,17636347892
2023-05-23 07:00:00,1,2,
2023-05-23 02:00:00,1,2,
2023-05-23 01:00:00,1,2,17636347892
2023-05-22 19:00:00,1,2,
2023-05-22 15:00:00,2,4,17636347892
2023-05-22 14:00:00,3,6,
2023-05-22 13:00:00,2,4,
2023-05-22 08:00:00,1,2,17636347892
2023-05-21 21:00:00,1,2,
2023-05-21 15:00:00,1,2,17636347892
2023-05-21 14:00:00,1,2,
2023-05-21 10:00:00,1,2,17636347892
2023-05-21 08:00:00,1,2,
2023-05-20 22:00:00,1,2,17636347892
2023-05-20 16:00:00,1,2,17636347892
2023-05-20 15:00:00,2,4,
2023-05-20 13:00:00,2,4,
2023-05-20 10:00:00,3,6,17636347892
2023-05-20 06:00:00,1,2,
2023-05-20 04:00:00,1,2,
2023-05-19 23:00:00,1,2,
2023-05-19 21:00:00,4,8,17636347892
2023-05-19 15:00:00,2,4,17636347892
2023-05-19 04:00:00,1,2,
2023-05-19 02:00:00,1,2,17636347892
2023-05-19 01:00:00,1,2,
2023-05-18 22:00:00,1,2,18463616520
2023-05-18 16:00:00,1,2,17636347892
2023-05-18 15:00:00,1,2,17636347892
2023-05-18 13:00:00,1,2,
2023-05-18 08:00:00,1,2,17636347892
2023-05-18 02:00:00,2,4,17636347892
2023-05-18 01:00:00,1,2,17636347892
2023-05-18 00:00:00,1,2,17636347892
2023-05-17 21:00:00,1,2,17636347892
2023-05-17 20:00:00,2,4,17636347892
2023-05-17 16:00:00,1,2,
2023-05-17 11:00:00,2,4,17636347892
2023-05-17 08:00:00,1,2,
2023-05-17 04:00:00,1,2,
2023-05-17 00:00:00,3,6,
2023-05-16 23:00:00,1,2,
2023-05-16 21:00:00,1,2,
2023-05-16 20:00:00,4,8,17636347892
2023-05-16 19:00:00,1,2,
2023-05-16 15:00:00,3,6,17636347892
2023-05-16 14:00:00,2,4,
2023-05-16 09:00:00,2,4,17636347892
2023-05-16 07:00:00,1,2,17636347892
