Supplier,List ID,Count,Date
Lido Labs,14504,8,2023-05-17
Lido Labs,14504,7,2023-05-18
Lido Labs,14504,9,2023-05-19
Lido Labs,14504,89,2023-05-22
Lido Labs,14504,40,2023-05-23
Lido Labs,14504,39,2023-05-24
Lido Labs,14504,59,2023-05-25
Lido Labs,14504,98,2023-05-26
Lido Labs,14504,100,2023-05-29
Lido Labs,14504,64,2023-05-30
Colossus Media,21753,1000,2023-05-17
Colossus Media,21753,1000,2023-05-18
Colossus Media,21753,1000,2023-05-19
Colossus Media,21753,512,2023-05-22
Colossus Media,21753,1000,2023-05-23
Colossus Media,21753,1000,2023-05-24
Colossus Media,21753,1000,2023-05-25
Colossus Media,21753,1000,2023-05-26
Colossus Media,21753,1000,2023-05-29
Colossus Media,21753,488,2023-05-30
Digital Media Solutions,24179,30,2023-05-17
Digital Media Solutions,24180,75,2023-05-17
Digital Media Solutions,24182,56,2023-05-17
Digital Media Solutions,24179,53,2023-05-18
Digital Media Solutions,24180,144,2023-05-18
Digital Media Solutions,24182,42,2023-05-18
Digital Media Solutions,24179,28,2023-05-19
Digital Media Solutions,24180,265,2023-05-19
Digital Media Solutions,24182,17,2023-05-19
Digital Media Solutions,24180,399,2023-05-20
Digital Media Solutions,24182,34,2023-05-20
Digital Media Solutions,24180,345,2023-05-21
Digital Media Solutions,24182,59,2023-05-21
Digital Media Solutions,24179,45,2023-05-22
Digital Media Solutions,24180,467,2023-05-22
Digital Media Solutions,24182,41,2023-05-22
Digital Media Solutions,24179,31,2023-05-23
Digital Media Solutions,24180,230,2023-05-23
Digital Media Solutions,24182,31,2023-05-23
Digital Media Solutions,24179,32,2023-05-24
Digital Media Solutions,24180,148,2023-05-24
Digital Media Solutions,24182,37,2023-05-24
Digital Media Solutions,24179,32,2023-05-25
Digital Media Solutions,24180,242,2023-05-25
Digital Media Solutions,24182,21,2023-05-25
Digital Media Solutions,24179,31,2023-05-26
Digital Media Solutions,24180,377,2023-05-26
Digital Media Solutions,24182,16,2023-05-26
Digital Media Solutions,24180,338,2023-05-27
Digital Media Solutions,24182,41,2023-05-27
Digital Media Solutions,24180,281,2023-05-28
Digital Media Solutions,24182,52,2023-05-28
Digital Media Solutions,24179,35,2023-05-29
Digital Media Solutions,24182,31,2023-05-29
Digital Media Solutions,24179,38,2023-05-30
Digital Media Solutions,24182,78,2023-05-30
Shift 44,83531,600,2023-05-17
Shift 44,83531,600,2023-05-18
Shift 44,83531,600,2023-05-19
Shift 44,83531,600,2023-05-22
Shift 44,83532,200,2023-05-22
Shift 44,83531,600,2023-05-23
Shift 44,83531,600,2023-05-24
Shift 44,83531,201,2023-05-25
Shift 44,83532,200,2023-05-29
SilverTAP,54001,1440,2023-05-17
SilverTAP,54006,3503,2023-05-17
SilverTAP,54001,1279,2023-05-18
SilverTAP,54006,2970,2023-05-18
SilverTAP,54001,730,2023-05-19
SilverTAP,54006,2483,2023-05-19
SilverTAP,54001,763,2023-05-20
SilverTAP,54006,1207,2023-05-20
SilverTAP,54001,992,2023-05-21
SilverTAP,54006,1321,2023-05-21
SilverTAP,54001,1452,2023-05-22
SilverTAP,54006,3346,2023-05-22
SilverTAP,54001,1408,2023-05-23
SilverTAP,54006,3404,2023-05-23
SilverTAP,54001,1297,2023-05-24
SilverTAP,54006,2942,2023-05-24
SilverTAP,54001,1086,2023-05-25
