Month,Date,Site_Name,UTM_Source,UTM_Campaign,UTM_Supplier_Id,UTM_Medium,UTM_Ad_Id,UTM_Content,Supplier,Matching_Time,Reg,Distinct_Schools,Accepted,Rejected,Rev,CPA
5,2023-05-27,,,,,,,,Digital Media Solutions,,2973,4,1,1,19.00,19.000000
5,2023-05-27,white_g,,,SUP0109,,374219,,Educationdirectory.org,,1,0,,,0.00,
5,2023-05-28,,,,,,,,Digital Media Solutions,,2907,3,0,1,0.00,
5,2023-05-28,edp,,,,,,,Educationdirectory.org,,1,3,3,0,65.00,21.666667
5,2023-05-28,white,,,,,,,Educationdirectory.org,,1,1,1,0,27.00,27.000000
5,2023-05-28,white_g,,,,,,,Educationdirectory.org,,1,4,3,0,66.00,22.000000
5,2023-05-29,,,,,,,,Digital Media Solutions,,4086,2,2,1,38.00,19.000000
5,2023-05-29,edu,,,,,,,Educationdirectory.org,,1,0,,,0.00,
5,2023-05-29,white_g,,,,,,,Educationdirectory.org,,2,3,0,0,0.00,
5,2023-05-30,,,,,,,,Digital Media Solutions,,4323,3,0,0,0.00,
5,2023-05-30,edu,,,,,,,Educationdirectory.org,,1,0,,,0.00,
5,2023-05-30,white_g,,,,,,,Educationdirectory.org,,2,2,2,2,43.00,21.500000
5,2023-05-20,white_g,,,,,,,Educationdirectory.org,,1,5,0,0,0.00,
5,2023-05-20,white_g,,,SUP0101,,650931252223,,Educationdirectory.org,,1,1,,,0.00,
5,2023-05-20,white_g,,,SUP0104,,grant2,,Educationdirectory.org,,1,2,0,0,0.00,
5,2023-05-21,,,,,,,,Digital Media Solutions,,3200,2,0,0,0.00,
5,2023-05-21,white_g,,,SUP0101,,620702930077,,Educationdirectory.org,,2,2,2,0,43.00,21.500000
5,2023-05-21,white_g,,,SUP0104,,grant2,,Educationdirectory.org,,3,6,3,0,72.00,24.000000
5,2023-05-22,,,,,,,,Digital Media Solutions,,3663,5,1,2,19.00,19.000000
5,2023-05-22,edp,,,,,,,Educationdirectory.org,,2,6,2,0,35.00,17.500000
5,2023-05-22,edu,,,,,,,Educationdirectory.org,,1,0,,,0.00,
5,2023-05-22,white_g,,,,,,,Educationdirectory.org,,1,1,0,0,0.00,
5,2023-05-23,,,,,,,,Digital Media Solutions,,3980,4,1,0,19.00,19.000000
5,2023-05-23,edp,,,,,,,Educationdirectory.org,,2,10,0,1,0.00,
5,2023-05-23,edu,,,,,,,Educationdirectory.org,,3,0,,,0.00,
5,2023-05-23,white_g,,,,,,,Educationdirectory.org,,1,2,0,1,0.00,
5,2023-05-23,white_g,,,SUP0109,,374219,,Educationdirectory.org,,1,0,,,0.00,
5,2023-05-08,,,,,,,,Digital Media Solutions,,3348,7,4,2,76.00,19.000000
5,2023-05-08,white_g,,,,,,,Educationdirectory.org,,1,2,0,0,0.00,
5,2023-05-09,,,,,,,,Digital Media Solutions,,3506,6,2,3,45.00,22.500000
5,2023-05-09,edp,,,,,,,Educationdirectory.org,,1,1,1,0,13.00,13.000000
5,2023-05-09,white_g,,,,,,,Educationdirectory.org,,1,3,0,0,0.00,
5,2023-05-09,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,2,4,0,0,0.00,
5,2023-05-10,,,,,,,,Digital Media Solutions,,3458,5,0,5,0.00,
5,2023-05-10,edp,,,SUP0101,,632560918534,,Educationdirectory.org,,1,3,1,2,30.00,30.000000
5,2023-05-10,Purdue Global,,,,,,,Educationdirectory.org,,1,2,2,0,42.00,21.000000
5,2023-05-11,,,,,,,,Digital Media Solutions,,3698,4,3,1,57.00,19.000000
5,2023-05-11,edp,,,,,,,Educationdirectory.org,,1,0,,,0.00,
4,2023-04-16,,,,,,,,Digital Media Solutions,,3148,4,1,2,19.00,19.000000
4,2023-04-17,,,,,,,,Digital Media Solutions,,4358,4,1,3,19.00,19.000000
4,2023-04-17,white_g,,,,,,,Educationdirectory.org,,4,12,1,2,14.00,14.000000
4,2023-04-18,,,,,,,,Digital Media Solutions,,4232,4,2,2,38.00,19.000000
4,2023-04-18,Purdue Global,,,,,,,Educationdirectory.org,,2,1,,,0.00,
4,2023-04-18,white_g,,,,,,,Educationdirectory.org,,2,3,2,2,46.00,23.000000
4,2023-04-18,white_g,,,SUP0104,,,,Educationdirectory.org,,1,0,,,0.00,
4,2023-04-19,,,,,,,,Digital Media Solutions,,4457,3,2,2,38.00,19.000000
4,2023-04-19,edp,,,,,,,Educationdirectory.org,,2,5,0,0,0.00,
