Year-Week,Site_Name,UTM_Source,UTM_Campaign,UTM_Supplier_Id,UTM_Medium,UTM_Ad_Id,UTM_Content,Supplier,Matching_Time,Reg,Distinct_Schools,Accepted,Rejected,Rev,CPA
202322,edu,,,,,,,Educationdirectory.org,,2,0,,,0.00,
202322,white,,,,,,,Educationdirectory.org,,1,1,1,0,27.00,27.000000
202321,white_g,,,SUP0109,,374219,,Educationdirectory.org,,3,1,0,0,0.00,
202322,edp,,,,,,,Educationdirectory.org,,1,3,3,0,65.00,21.666667
202322,,,,,,,,Digital Media Solutions,,11316,4,2,2,38.00,19.000000
202322,white_g,,,,,,,Educationdirectory.org,,5,6,5,2,109.00,21.800000
202321,edu,,,,,,,Educationdirectory.org,,39,1,0,0,0.00,
202321,white_g,,,SUP0104,,grant2,,Educationdirectory.org,,5,6,3,0,72.00,24.000000
202321,white_g,,,SUP0101,,620702930077,,Educationdirectory.org,,2,2,2,0,43.00,21.500000
202321,white_g,,,,,,,Educationdirectory.org,,7,6,5,1,117.00,23.400000
202317,white_g,,,,,,,Educationdirectory.org,,7,6,7,2,168.00,24.000000
202317,white_g,,,SUP0101,,651015491880,,Educationdirectory.org,,1,1,,,0.00,
202317,white_g,,,SUP0104,,,,Educationdirectory.org,,3,1,1,0,12.00,12.000000
202317,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,5,2,0,0,0.00,
202318,,,,,,,,Digital Media Solutions,,27697,8,17,37,338.00,19.882353
202318,edp,,,,,,,Educationdirectory.org,,2,4,3,0,60.00,20.000000
202318,edp,,,SUP0101,,624999155494,,Educationdirectory.org,,1,5,0,0,0.00,
202318,edp,,,SUP0111,,creative1e,,Educationdirectory.org,,1,5,3,0,76.00,25.333333
202318,edp,,,SUP0111,education,creative1e,,Educationdirectory.org,,6,4,4,4,112.00,28.000000
202318,Purdue Global,,,SUP0111,edu_grant,creative1g,,Educationdirectory.org,,2,3,0,0,0.00,
202318,Purdue Global,,,SUP0111,education,creative1e,,Educationdirectory.org,,4,4,1,0,40.00,40.000000
202318,white_g,,,,,,,Educationdirectory.org,,7,12,3,0,82.00,27.333333
202318,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,4,2,0,2,0.00,
202318,white_g,,,SUP0111,,creative1g,,Educationdirectory.org,,1,5,0,0,0.00,
202318,white_g,,,SUP0111,edu_grant,creative1g,,Educationdirectory.org,,38,20,27,5,614.00,22.740741
202319,,,,,,,,Digital Media Solutions,,23811,7,12,17,242.00,20.166667
202319,edp,,,,,,,Educationdirectory.org,,3,6,4,0,105.00,26.250000
202319,edp,,,SUP0101,,632560918534,,Educationdirectory.org,,1,3,1,2,30.00,30.000000
202312,,,,,,,,Digital Media Solutions,,11371,4,4,13,76.00,19.000000
202312,blue_g,,,,,,,Educationdirectory.org,,3,2,,,0.00,
202312,edp,,,,,,,Educationdirectory.org,,8,13,10,2,221.00,22.100000
202312,portal,,,,,,,Degree Transfers,2145749,2,8,5,2,145.00,29.000000
202312,Purdue Global,,,,,,,Educationdirectory.org,,4,2,0,4,0.00,
202312,white_g,,,,,,,Educationdirectory.org,,16,13,6,2,136.00,22.666667
202312,white_g,,,SUP0101,,624999155494,,Educationdirectory.org,,1,7,0,0,0.00,
202312,white_g,,,SUP0104,,,,Educationdirectory.org,,6,12,3,0,41.00,13.666667
202313,,,,,,,,Digital Media Solutions,,14372,10,16,4,308.00,19.250000
202313,blue_g,,,,,,,Educationdirectory.org,,1,2,,,0.00,
202313,edp,,,,,,,Educationdirectory.org,,5,9,5,1,135.00,27.000000
202313,Purdue Global,,,,,,,Educationdirectory.org,,3,1,1,0,7.00,7.000000
202252,,,,,,,,Digital Media Solutions,,2803,1,1,0,19.00,19.000000
202252,edp,,,,,,,Educationdirectory.org,,1,0,,,0.00,
202252,Purdue Global,,,,,,,Educationdirectory.org,,3,1,,,0.00,
202301,,,,,,,,Digital Media Solutions,,24278,7,45,7,855.00,19.000000
202301,edp,,,,,,,Educationdirectory.org,,8,10,12,1,270.00,22.500000
202301,portal,,,,,,,Degree Transfers,5688316,7,8,1,2,15.00,15.000000
202301,Purdue Global,,,,,,,Educationdirectory.org,,7,6,4,8,100.00,25.000000
202301,white_g,,,,,,,Educationdirectory.org,,9,8,6,0,116.00,19.333333
202301,white_g,,,SUP0101,,585909895103,,Educationdirectory.org,,6,4,7,1,150.00,21.428571
202301,white_g,,,SUP0104,,,,Educationdirectory.org,,4,5,4,5,54.00,13.500000
202302,,,,,,,,Digital Media Solutions,,23034,5,10,6,197.00,19.700000
202302,edp,,,,,,,Educationdirectory.org,,8,16,8,2,162.00,20.250000
202302,portal,,,,,,,Degree Transfers,3618337,5,7,0,2,0.00,
202302,Purdue Global,,,SUP0104,,,,Educationdirectory.org,,1,0,,,0.00,
202306,portal,,,,,,,Degree Transfers,54003,3,0,,,0.00,
202306,Purdue Global,,,,,,,Educationdirectory.org,,4,8,6,1,112.00,18.666667
202306,white,,,,,,,Educationdirectory.org,,4,7,1,0,30.00,30.000000
202306,white_g,,,,,,,Educationdirectory.org,,4,9,6,0,158.00,26.333333
202306,white_g,,,SUP0101,,585909895103,,Educationdirectory.org,,2,8,4,0,106.00,26.500000
202306,white_g,,,SUP0104,,,,Educationdirectory.org,,4,7,6,0,114.00,19.000000
202307,,,,,,,,Digital Media Solutions,,21349,5,6,3,114.00,19.000000
202307,edp,,,,,,,Educationdirectory.org,,7,8,1,0,20.00,20.000000
202307,portal,,,,,,,Degree Transfers,4392244,4,6,5,5,144.00,28.800000
202307,Purdue Global,,,,,,,Educationdirectory.org,,7,12,2,3,44.00,22.000000
202307,Purdue Global,,,SUP0104,,,,Educationdirectory.org,,1,1,0,0,0.00,
202307,white,,,,,,,Educationdirectory.org,,1,0,,,0.00,
202307,white_g,,,,,,,Educationdirectory.org,,6,10,7,3,181.00,25.857143
202307,white_g,,,SUP0101,,585909895103,,Educationdirectory.org,,4,13,3,0,98.00,32.666667
202307,white_g,,,SUP0104,,,,Educationdirectory.org,,9,9,5,1,140.00,28.000000
202308,,,,,,,,Digital Media Solutions,,27776,4,9,4,171.00,19.000000
202308,edp,,,,,,,Educationdirectory.org,,19,17,9,1,226.00,25.111111
202315,white_g,,,,,,,Educationdirectory.org,,15,12,11,11,318.00,28.909091
202315,white_g,,,SUP0101,,607713435568,,Educationdirectory.org,,2,2,2,0,43.00,21.500000
202315,white_g,,,SUP0101,,651015491880,,Educationdirectory.org,,1,4,0,0,0.00,
202315,white_g,,,SUP0104,,,,Educationdirectory.org,,7,11,1,0,17.00,17.000000
202315,white_g,,,SUP0109,,374219,,Educationdirectory.org,,5,7,3,1,88.00,29.333333
202316,,,,,,,,Digital Media Solutions,,28219,4,8,11,152.00,19.000000
202316,edp,,,,,,,Educationdirectory.org,,2,5,0,0,0.00,
202316,Purdue Global,,,,,,,Educationdirectory.org,,7,4,3,0,94.00,31.333333
202316,white_g,,,,,,,Educationdirectory.org,,13,14,5,5,96.00,19.200000
202316,white_g,,,SUP0101,,624999155488,,Educationdirectory.org,,1,0,,,0.00,
202316,white_g,,,SUP0101,,649118698063,,Educationdirectory.org,,1,0,,,0.00,
202316,white_g,,,SUP0101,,650931252223,,Educationdirectory.org,,1,2,2,0,43.00,21.500000
202316,white_g,,,SUP0104,,,,Educationdirectory.org,,6,2,3,0,84.00,28.000000
202317,,,,,,,,Digital Media Solutions,,29719,4,5,13,109.00,21.800000
202317,edp,,,,,,,Educationdirectory.org,,9,8,2,0,43.00,21.500000
202317,Purdue Global,,,,,,,Educationdirectory.org,,7,7,6,1,162.00,27.000000
202304,Purdue Global,,,SUP0104,,,,Educationdirectory.org,,1,3,0,0,0.00,
202304,white,,,,,,,Educationdirectory.org,,1,1,1,0,30.00,30.000000
202304,white_g,,,,,,,Educationdirectory.org,,5,5,1,2,20.00,20.000000
202304,white_g,,,SUP0101,,585909895103,,Educationdirectory.org,,2,4,2,0,48.00,24.000000
202304,white_g,,,SUP0104,,,,Educationdirectory.org,,12,14,9,0,185.00,20.555556
202305,,,,,,,,Digital Media Solutions,,21462,9,20,9,396.00,19.800000
202305,edp,,,,,,,Educationdirectory.org,,8,15,4,2,109.00,27.250000
202305,Purdue Global,,,,,,,Educationdirectory.org,,11,8,3,2,69.00,23.000000
202305,white_g,,,,,,,Educationdirectory.org,,8,11,2,0,46.00,23.000000
202305,white_g,,,SUP0101,,585909895103,,Educationdirectory.org,,2,3,1,1,30.00,30.000000
202305,white_g,,,SUP0104,,,,Educationdirectory.org,,8,4,3,0,62.00,20.666667
202306,,,,,,,,Digital Media Solutions,,20432,8,22,5,422.00,19.181818
202306,edp,,,,,,,Educationdirectory.org,,5,11,3,2,78.00,26.000000
202313,white_g,,,,,,,Educationdirectory.org,,16,10,6,5,124.00,20.666667
202313,white_g,,,SUP0101,,607713435568,,Educationdirectory.org,,1,6,0,0,0.00,
202313,white_g,,,SUP0104,,,,Educationdirectory.org,,6,8,1,1,9.00,9.000000
202314,,,,,,,,Digital Media Solutions,,24665,9,29,35,569.00,19.620690
202314,edp,,,,,,,Educationdirectory.org,,7,9,0,0,0.00,
202314,Purdue Global,,,,,,,Educationdirectory.org,,6,4,3,3,76.00,25.333333
202314,Purdue Global,,,SUP0104,,,,Educationdirectory.org,,2,3,1,1,30.00,30.000000
202314,white_g,,,,,,,Educationdirectory.org,,8,9,4,4,103.00,25.750000
202314,white_g,,,SUP0101,,649118698063,,Educationdirectory.org,,1,5,0,0,0.00,
202314,white_g,,,SUP0101,,651015491880,,Educationdirectory.org,,1,1,0,0,0.00,
202314,white_g,,,SUP0101,,652872442234,,Educationdirectory.org,,1,3,2,0,46.00,23.000000
202314,white_g,,,SUP0104,,,,Educationdirectory.org,,5,13,1,1,30.00,30.000000
202315,,,,,,,,Digital Media Solutions,,26689,6,13,19,254.00,19.538462
202315,edp,,,,,,,Educationdirectory.org,,9,10,6,2,149.00,24.833333
202315,Purdue Global,,,,,,,Educationdirectory.org,,4,4,3,4,84.00,28.000000
202319,Purdue Global,,,,,,,Educationdirectory.org,,1,2,2,0,42.00,21.000000
202319,white_g,,,,,,,Educationdirectory.org,,5,8,4,0,134.00,33.500000
202319,white_g,,,SUP0104,,grant1,,Educationdirectory.org,,5,5,1,1,11.00,11.000000
202319,white_g,,,SUP0109,,,,Educationdirectory.org,,1,1,,,0.00,
202319,white_g,,,SUP0109,,374219,,Educationdirectory.org,,1,2,1,0,26.00,26.000000
202320,,,,,,,,Digital Media Solutions,,25314,5,4,21,76.00,19.000000
202320,edp,,,,,,,Educationdirectory.org,,7,11,8,8,191.00,23.875000
202320,white_g,,,,,,,Educationdirectory.org,,7,13,6,2,175.00,29.166667
202320,white_g,,,SUP0101,,649118698063,,Educationdirectory.org,,1,3,0,0,0.00,
202320,white_g,,,SUP0101,,650931252223,,Educationdirectory.org,,1,1,,,0.00,
202320,white_g,,,SUP0104,,grant2,,Educationdirectory.org,,4,3,1,0,19.00,19.000000
202321,,,,,,,,Digital Media Solutions,,25713,5,4,11,76.00,19.000000
202321,edp,,,,,,,Educationdirectory.org,,5,13,4,1,70.00,17.500000
202310,portal,,,,,,,Degree Transfers,11700650,10,10,7,2,191.00,27.285714
202310,Purdue Global,,,,,,,Educationdirectory.org,,8,16,6,2,144.00,24.000000
202310,white_g,,,,,,,Educationdirectory.org,,7,12,10,2,265.00,26.500000
202310,white_g,,,SUP0101,,620702930077,,Educationdirectory.org,,3,10,2,1,16.00,8.000000
202310,white_g,,,SUP0104,,,,Educationdirectory.org,,5,8,5,0,113.00,22.600000
202310,white_g,,,SUP0109,,374219,,Educationdirectory.org,,5,13,7,1,169.00,24.142857
202311,,,,,,,,Digital Media Solutions,,27455,4,11,20,230.00,20.909091
202311,edp,,,,,,,Educationdirectory.org,,3,10,3,0,71.00,23.666667
202311,portal,,,,,,,Degree Transfers,7546287,5,6,2,5,56.00,28.000000
202311,Purdue Global,,,,,,,Educationdirectory.org,,4,4,3,0,39.00,13.000000
202311,white,,,,,,,Educationdirectory.org,,1,2,2,0,30.00,15.000000
202311,white_g,,,,,,,Educationdirectory.org,,9,9,6,0,154.00,25.666667
202311,white_g,,,SUP0104,,,,Educationdirectory.org,,10,11,6,0,126.00,21.000000
202302,white_g,,,,,,,Educationdirectory.org,,4,9,0,0,0.00,
202302,white_g,,,SUP0101,,606243851972,,Educationdirectory.org,,1,0,,,0.00,
202302,white_g,,,SUP0104,,,,Educationdirectory.org,,1,1,0,0,0.00,
202303,,,,,,,,Digital Media Solutions,,24249,3,6,12,114.00,19.000000
202303,edp,,,,,,,Educationdirectory.org,,6,16,8,7,209.00,26.125000
202303,portal,,,,,,,Degree Transfers,3618219,8,3,3,0,87.00,29.000000
202303,Purdue Global,,,,,,,Educationdirectory.org,,2,5,1,0,20.00,20.000000
202303,white_g,,,,,,,Educationdirectory.org,,10,8,5,1,109.00,21.800000
202303,white_g,,,SUP0104,,,,Educationdirectory.org,,7,8,5,0,113.00,22.600000
202304,,,,,,,,Digital Media Solutions,,22984,5,6,10,122.00,20.333333
202304,edp,,,,,,,Educationdirectory.org,,7,11,9,6,232.00,25.777778
202304,edp,,,SUP0104,,,,Educationdirectory.org,,1,4,3,0,44.00,14.666667
202304,Purdue Global,,,,,,,Educationdirectory.org,,9,9,5,6,88.00,17.600000
202304,Purdue Global,,,SUP0101,,585909895103,,Educationdirectory.org,,1,2,0,0,0.00,
202308,portal,,,,,,,Degree Transfers,123723048,102,22,73,33,2213.00,30.315068
202308,Purdue Global,,,,,,,Educationdirectory.org,,5,8,1,0,20.00,20.000000
202308,white,,,,,,,Educationdirectory.org,,1,1,0,0,0.00,
202308,white_g,,,,,,,Educationdirectory.org,,12,13,5,3,114.00,22.800000
202308,white_g,,,SUP0101,,607713435568,,Educationdirectory.org,,3,7,0,0,0.00,
202308,white_g,,,SUP0101,,624999155488,,Educationdirectory.org,,1,7,2,1,43.00,21.500000
202308,white_g,,,SUP0101,,649118698060,,Educationdirectory.org,,1,0,,,0.00,
202308,white_g,,,SUP0104,,,,Educationdirectory.org,,4,9,2,1,50.00,25.000000
202308,white_g,,,SUP0109,,374219,,Educationdirectory.org,,1,3,3,0,67.00,22.333333
202309,,,,,,,,Digital Media Solutions,,25857,10,42,18,834.00,19.857143
202309,edp,,,,,,,Educationdirectory.org,,9,16,7,1,213.00,30.428571
202309,portal,,,,,,,Degree Transfers,2988166,2,3,1,2,65.00,65.000000
202309,Purdue Global,,,,,,,Educationdirectory.org,,9,9,2,4,60.00,30.000000
202309,Purdue Global,,,SUP0109,,374219,,Educationdirectory.org,,1,5,0,3,0.00,
202309,white_g,,,,,,,Educationdirectory.org,,3,8,3,0,76.00,25.333333
202309,white_g,,,SUP0104,,,,Educationdirectory.org,,9,11,0,0,0.00,
202309,white_g,,,SUP0109,,374219,,Educationdirectory.org,,5,6,4,0,85.00,21.250000
202310,,,,,,,,Digital Media Solutions,,27668,6,18,11,356.00,19.777778
202310,edp,,,,,,,Educationdirectory.org,,8,13,5,2,106.00,21.200000
202317,white_g,,Education,,,,,Educationdirectory.org,,17,8,8,3,183.00,22.875000
202317,edp,,Grants,,,,,Educationdirectory.org,,20,15,14,5,275.00,19.642857
202308,white,bing,530299973,SUP0101,edu,85075258899522,1361197235935708,Educationdirectory.org,,7,10,2,1,64.00,32.000000
202308,white,bing,530299973,SUP0101,edu,85075258899524,1361197235935708,Educationdirectory.org,,9,4,0,0,0.00,
202306,white,bing,530299973,SUP0101,edu,85075258899522,1361197235935708,Educationdirectory.org,,2,0,,,0.00,
202306,white,bing,530299973,SUP0101,edu,85075258899524,1361197235935708,Educationdirectory.org,,6,4,3,0,35.00,11.666667
202307,edp,bing,530299973,SUP0101,edu,85075258899524,1361197235935708,Educationdirectory.org,,1,1,1,0,18.00,18.000000
202307,Purdue Global,bing,530299973,SUP0101,edu,85075258899524,1361197235935708,Educationdirectory.org,,7,5,1,1,20.00,20.000000
202307,white,bing,530299973,SUP0101,edu,85075258899522,1361197235935708,Educationdirectory.org,,54,19,17,16,450.00,26.470588
202307,white,bing,530299973,SUP0101,edu,85075258899524,1361197235935708,Educationdirectory.org,,60,19,30,10,865.00,28.833333
202306,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,784,62,445,39,10051.00,22.586517
202307,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,953,63,492,44,11129.00,22.619919
202308,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,875,65,428,51,10242.00,23.929907
202309,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,613,59,315,34,7281.00,23.114286
202304,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,966,51,371,51,8699.00,23.447439
202305,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,1012,58,497,70,12164.00,24.474849
202321,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,4,0,,,0.00,
202312,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,1122,64,567,92,13511.00,23.828924
202315,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,1203,70,599,136,14335.00,23.931553
202316,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,1372,47,519,78,12338.00,23.772640
202252,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,12,7,9,4,207.00,23.000000
202301,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,43,19,18,1,433.00,24.055556
202317,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,698,20,121,12,2034.00,16.809917
202302,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,190,40,97,16,2267.00,23.371134
202303,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,804,54,429,33,9470.00,22.074592
202313,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,1031,75,509,80,12328.00,24.220039
202314,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,995,73,527,87,12484.00,23.688805
202310,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,556,60,299,36,6921.00,23.147157
202311,white_g,connexusdigital,,SUP0104,job_grant,,,Educationdirectory.org,,811,57,424,65,10069.00,23.747642
202310,edp,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,2,7,2,4,49.00,24.500000
202310,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,18,15,11,10,207.00,18.818182
202310,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,313,53,238,57,5778.00,24.277311
202311,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,12,16,6,0,156.00,26.000000
202305,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,4,10,3,5,90.00,30.000000
202306,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,1,7,0,0,0.00,
202306,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,4,16,7,4,233.00,33.285714
202307,edp,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,1,0,,,0.00,
202307,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,16,9,4,6,69.00,17.250000
202307,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,179,40,128,24,3095.00,24.179688
202308,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,31,10,11,16,240.00,21.818182
202308,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,374,54,204,36,4814.00,23.598039
202309,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,5,6,4,6,77.00,19.250000
202309,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,260,46,216,51,5327.00,24.662037
202315,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,410,58,339,77,7967.00,23.501475
202316,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,2,1,0,1,0.00,
202316,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,26,22,24,7,569.00,23.708333
202317,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,4,4,0,1,0.00,
202321,white_g,Email,,SUP0109,edu_grant,376908,,Educationdirectory.org,,19,8,5,1,142.00,28.400000
202321,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,126,22,75,19,1799.00,23.986667
202322,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,59,13,33,6,741.00,22.454545
202312,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,1,5,1,2,34.00,34.000000
202312,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,5,6,6,0,121.00,20.166667
202313,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,5,6,4,2,100.00,25.000000
202314,Purdue Global,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,4,6,3,1,62.00,20.666667
202314,white_g,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,100,30,81,19,2148.00,26.518519
202315,edp,Email,,SUP0109,edu_grant,374219,,Educationdirectory.org,,2,2,1,0,21.00,21.000000
